Ano,Patrimônio Liquido,Receita Inter. Fin.,Lucro Liq.,Mrg. Liq.,ROE,ind. de Basiléia,PDD,PDD/Lucro Liq.,Proventos,Payout
2015,337,480,34,7%,10%,21%,58,171%,21,62%
2016,346,567,25,4%,7%,19%,86,336%,3,11%
2017,383,546,48,9%,13%,17%,51,105%,0,0%
2018,949,643,68,11%,7%,30%,2,3%,0,0%
2019,2201,845,79,9%,4%,39%,131,166%,0,0%
